,Symbol,Div,AD,ED,RD
20141,TPOR,0.04551,2019-03-13,2019-12-23,2019-12-24
20142,TPOR,0.06692,2019-03-13,2019-09-24,2019-09-25
20143,TPOR,0.06839,2019-03-13,2019-06-25,2019-06-26
20144,TPOR,0.08279,2019-03-13,2019-03-19,2019-03-20
20145,TPOR,0.06054,2018-12-24,2018-12-27,2018-12-28
20146,TPYP,0.2676,2020-02-25,2020-09-23,2020-09-24
20147,TPYP,0.2439,2020-02-25,2020-06-24,2020-06-25
20148,TPYP,0.3098,2020-02-25,2020-03-25,2020-03-26
20149,TPYP,0.2235,2019-03-20,2019-12-30,2019-12-31
20150,TPYP,0.2802,2019-03-20,2019-09-25,2019-09-26
20151,TPYP,0.278,2019-03-20,2019-06-26,2019-06-27
20152,TPYP,0.2628,2019-03-19,2019-03-20,2019-03-21
20153,TPYP,0.1548,2018-12-27,2018-12-28,2018-12-31
20154,TQQQ,0.031273,2019-12-23,2019-12-24,2019-12-26
20155,TQQQ,0.020268,2019-03-19,2019-03-20,2019-03-21
20156,TQQQ,0.040781,2018-12-24,2018-12-26,2018-12-27
20157,TRGP,0.1,2020-07-16,2020-07-30,2020-07-31
20158,TRGP,0.1,2020-04-16,2020-04-30,2020-05-01
20159,TRGP,0.91,2020-01-16,2020-01-30,2020-01-31
20160,TRGP,0.91,2019-10-16,2019-10-31,2019-11-01
20161,TRGP,0.91,2019-07-17,2019-07-30,2019-07-31
20162,TRGP,0.91,2019-04-17,2019-04-30,2019-05-01
20163,TRGP,0.91,2019-01-17,2019-01-30,2019-01-31
20164,TRGP,0.91,2018-10-17,2018-10-30,2018-10-31
20165,TRI,0.38,2020-08-05,2020-08-19,2020-08-20
20166,TRI,0.500612,2020-08-05,2020-08-19,2020-08-20
20167,TRI,0.38,2020-05-05,2020-05-20,2020-05-21
20168,TRI,0.5301,2020-05-05,2020-05-20,2020-05-21
20169,TRI,0.38,2020-02-25,2020-03-05,2020-03-06
20170,TRI,0.50958,2020-02-25,2020-03-05,2020-03-06
20171,TRI,0.36,2019-10-31,2019-11-20,2019-11-21
20172,TRI,0.477684,2019-10-31,2019-11-20,2019-11-21
20173,TRI,0.36,2019-08-01,2019-08-21,2019-08-22
20174,TRI,0.47826,2019-08-01,2019-08-21,2019-08-22
20175,TRI,0.36,2019-05-08,2019-05-22,2019-05-23
20176,TRI,0.48438,2019-05-08,2019-05-22,2019-05-23
20177,TRI,0.36,2019-02-26,2019-03-07,2019-03-08
20178,TRI,0.482976,2019-02-26,2019-03-07,2019-03-08
20179,TRI,0.35,2018-10-08,2018-11-14,2018-11-15
20180,TRI,,2018-10-08,2018-11-14,2018-11-15
20181,TRMK,0.23,2020-07-28,2020-08-31,2020-09-01
20182,TRMK,0.23,2020-04-28,2020-05-29,2020-06-01
20183,TRMK,0.23,2020-01-28,2020-02-27,2020-03-01
20184,TRMK,0.23,2019-10-22,2019-11-27,2019-12-01
20185,TRMK,0.23,2019-07-23,2019-08-29,2019-09-01
20186,TRMK,0.23,2019-04-23,2019-05-30,2019-06-01
20187,TRMK,0.23,2019-01-23,2019-02-28,2019-03-01
20188,TRMK,0.23,2018-10-23,2018-11-29,2018-12-01
20189,TRN,0.19,2020-09-10,2020-10-14,2020-10-15
20190,TRN,0.19,2020-05-04,2020-07-14,2020-07-15
20191,TRN,0.19,2020-03-12,2020-04-14,2020-04-15
20192,TRN,0.19,2019-12-06,2020-01-14,2020-01-15
20193,TRN,0.17,2019-09-04,2019-10-11,2019-10-15
20194,TRN,0.17,2019-05-06,2019-07-12,2019-07-15
20195,TRN,0.17,2019-03-07,2019-04-12,2019-04-15
20196,TRN,0.13,2018-12-06,2019-01-14,2019-01-15
20197,TROX,0.07,2020-08-07,2020-08-17,2020-08-18
20198,TROX,0.07,2020-05-06,2020-05-15,2020-05-18
20199,TROX,0.07,2020-02-25,2020-03-06,2020-03-09
20200,TROX,0.045,2019-11-07,2019-11-18,2019-11-19
20201,TROX,0.045,2019-08-19,2019-08-30,2019-09-03
20202,TROX,0.045,2019-05-09,2019-05-17,2019-05-20
20203,TROX,0.045,2019-02-27,2019-03-08,2019-03-11
20204,TROX,0.045,2018-11-15,2018-11-23,2018-11-26
20205,TRST,0.068125,2020-08-18,2020-09-03,2020-09-04
20206,TRST,0.068125,2020-05-19,2020-06-04,2020-06-05
20207,TRST,0.068125,2020-02-18,2020-03-05,2020-03-06
20208,TRST,0.068125,2019-11-19,2019-12-05,2019-12-06
20209,TRST,0.068125,2019-08-20,2019-09-05,2019-09-06
20210,TRST,0.068125,2019-05-21,2019-06-06,2019-06-07
20211,TRST,0.068125,2019-02-19,2019-02-28,2019-03-01
20212,TRST,0.068125,2018-11-20,2018-12-06,2018-12-07
20213,TRTN,0.52,2020-07-24,2020-09-09,2020-09-10
20214,TRTN,0.52,2020-04-24,2020-06-10,2020-06-11
20215,TRTN,0.52,2020-02-14,2020-03-12,2020-03-13
20216,TRTN,0.52,2019-10-24,2019-12-02,2019-12-03
20217,TRTN,0.52,2019-07-25,2019-09-04,2019-09-05
20218,TRTN,0.52,2019-04-30,2019-06-05,2019-06-06
20219,TRTN,0.52,2019-02-14,2019-03-11,2019-03-12
20220,TRTN,0.52,2018-11-02,2018-11-30,2018-12-03
20221,TRTY,0.11341,2020-09-24,2020-09-25,2020-09-28
20222,TRTY,0.11551,2020-06-25,2020-06-26,2020-06-29
20223,TRTY,0.288779,2019-12-26,2019-12-27,2019-12-30
20224,TRTY,0.160626,2019-09-26,2019-09-27,2019-09-30
20225,TRTY,0.111174,2019-06-27,2019-06-28,2019-07-01
20226,TRTY,0.090127,2019-03-28,2019-03-29,2019-04-02
20227,TRTY,0.244736,2018-12-27,2018-12-28,2018-12-31
20228,TRV,0.85,2020-07-23,2020-09-09,2020-09-10
20229,TRV,0.85,2020-04-21,2020-06-09,2020-06-10
20230,TRV,0.82,2020-01-23,2020-03-09,2020-03-10
20231,TRV,0.82,2019-10-22,2019-12-09,2019-12-10
20232,TRV,0.82,2019-07-23,2019-09-09,2019-09-10
20233,TRV,0.82,2019-04-18,2019-06-07,2019-06-10
20234,TRV,0.77,2019-01-22,2019-03-08,2019-03-11
20235,TRV,0.77,2018-10-18,2018-12-07,2018-12-10
20236,TRWH,0.1,2020-02-25,2020-03-05,2020-03-06
20237,TRWH,0.1,2019-10-04,2019-10-11,2019-10-15
20238,TRWH,0.1,2019-06-14,2019-07-08,2019-07-09
20239,TSBK,0.2,2020-07-28,2020-08-13,2020-08-14
20240,TSBK,0.2,2020-04-28,2020-05-14,2020-05-15
20241,TSBK,0.2,2020-01-27,2020-02-13,2020-02-14
20242,TSBK,0.15,2019-10-31,2019-11-14,2019-11-15
20243,TSBK,0.1,2019-10-31,2019-11-14,2019-11-15
20244,TSBK,0.15,2019-07-23,2019-08-14,2019-08-15
20245,TSBK,0.15,2019-04-30,2019-05-14,2019-05-15
20246,TSBK,0.1,2019-04-30,2019-05-14,2019-05-15
20247,TSBK,0.15,2019-01-22,2019-02-13,2019-02-14
20248,TSBK,0.13,2018-11-01,2018-11-15,2018-11-16
20249,TSBK,0.1,2018-11-01,2018-11-15,2018-11-16
20250,TSCAP,0.421875,2020-07-13,2020-09-14,2020-09-15
20251,TSCAP,0.421875,2020-05-01,2020-06-12,2020-06-15
20252,TSCAP,0.421875,2020-02-05,2020-03-17,2020-03-18
20253,TSCAP,0.421875,2019-11-02,2019-12-17,2019-12-18
20254,TSCAP,0.421875,2019-07-15,2019-09-12,2019-09-13
20255,TSCAP,0.421875,2019-01-18,2019-03-15,2019-03-18
20256,TSCAP,0.421875,2018-11-01,2018-12-17,2018-12-18
20257,TSCO,0.4,2020-08-06,2020-08-21,2020-08-24
20258,TSCO,0.35,2020-05-06,2020-05-22,2020-05-26
20259,TSCO,0.35,2020-02-05,2020-02-21,2020-02-24
20260,TSCO,0.35,2019-11-06,2019-11-22,2019-11-25
20261,TSCO,0.35,2019-08-07,2019-08-23,2019-08-26
20262,TSCO,0.35,2019-05-09,2019-05-24,2019-05-28
20263,TSCO,0.31,2019-02-06,2019-02-22,2019-02-25
20264,TSCO,0.31,2018-11-07,2018-11-23,2018-11-26
20265,TSI,0.065,2020-09-16,2020-09-29,2020-09-30
20266,TSI,0.0813,2020-03-09,2020-03-30,2020-03-31
20267,TSI,0.1032,2019-12-17,2019-12-30,2019-12-31
20268,TSI,0.0837,2019-09-16,2019-09-27,2019-09-30
