,Symbol,AD,ED,RD
331,AGNC,2019-09-11,2019-09-27,2019-09-30
332,AGNC,2019-08-13,2019-08-29,2019-08-30
333,AGNC,2019-07-11,2019-07-30,2019-07-31
334,AGNC,2019-06-12,2019-06-27,2019-06-28
335,AGNC,2019-05-14,2019-05-30,2019-05-31
336,AGNC,2019-04-10,2019-04-29,2019-04-30
337,AGNC,2019-03-12,2019-03-28,2019-03-29
338,AGNC,2019-02-12,2019-02-27,2019-02-28
339,AGNC,2019-01-10,2019-01-30,2019-01-31
340,AGNC,2018-12-11,2018-12-28,2018-12-31
341,AGNC,2018-11-09,2018-11-29,2018-11-30
342,AGNC,2018-10-11,2018-10-30,2018-10-31
343,AGNCN,2020-09-11,2020-09-30,2020-10-01
344,AGNCN,2020-06-12,2020-06-30,2020-07-01
345,AGNCN,2020-03-13,2020-03-31,2020-04-01
346,AGNCN,2019-12-10,2019-12-30,2020-01-01
347,AGNCN,2019-09-11,2019-09-30,2019-10-01
348,AGNCN,2019-06-12,2019-06-28,2019-07-01
349,AGNCN,2019-03-12,2019-03-29,2019-04-01
350,AGNCN,2018-12-11,2018-12-28,2019-01-01
351,AGNCP,2020-09-11,2020-09-30,2020-10-01
352,AGNCP,2020-06-12,2020-06-30,2020-07-01
353,AGNCP,2020-03-13,2020-03-31,2020-04-01
354,AGR,2020-07-14,2020-08-31,2020-09-01
355,AGR,2020-04-27,2020-06-01,2020-06-02
356,AGR,2020-02-19,2020-03-05,2020-03-06
357,AGR,2019-12-02,2019-12-11,2019-12-12
358,AGR,2019-07-16,2019-09-05,2019-09-06
359,AGR,2019-04-11,2019-06-06,2019-06-07
360,AGR,2019-02-13,2019-03-07,2019-03-08
361,AGR,2018-12-01,2018-12-10,2018-12-11
362,AGT,2019-12-13,2020-06-15,2020-06-16
363,AGT,2018-12-28,2019-12-30,2019-12-31
364,AGT,2018-12-28,2019-12-16,2019-12-17
365,AGT,2018-12-28,2019-06-17,2019-06-18
366,AGT,2018-01-18,2018-12-28,2018-12-31
367,AGT,2018-12-17,2018-12-18,2018-12-19
368,AGX,2020-06-24,2020-07-22,2020-07-23
369,AGX,2020-06-24,2020-07-22,2020-07-23
370,AGX,2020-04-09,2020-04-21,2020-04-22
371,AGX,2019-12-11,2020-01-22,2020-01-23
372,AGX,2019-09-10,2019-10-22,2019-10-23
373,AGX,2019-06-20,2019-07-22,2019-07-23
374,AGX,2019-04-10,2019-04-18,2019-04-22
375,AGX,2018-12-12,2019-01-23,2019-01-24
376,AGX,2018-09-12,2018-10-23,2018-10-24
377,AGZ,2019-12-11,2020-10-01,2020-10-02
378,AGZ,2019-12-11,2020-09-01,2020-09-02
379,AGZ,2019-12-11,2020-08-03,2020-08-04
380,AGZ,2019-12-11,2020-07-01,2020-07-02
381,AGZ,2019-12-11,2020-06-01,2020-06-02
382,AGZ,2019-12-11,2020-05-01,2020-05-04
383,AGZ,2019-12-11,2020-04-01,2020-04-02
384,AGZ,2019-12-11,2020-03-02,2020-03-03
385,AGZ,2019-12-11,2020-02-03,2020-02-04
386,AGZ,2018-12-18,2019-12-30,2019-12-31
387,AGZ,2018-12-18,2019-12-19,2019-12-20
388,AGZ,2018-12-18,2019-12-02,2019-12-03
389,AGZ,2018-12-18,2019-11-01,2019-11-04
390,AGZ,2018-12-18,2019-10-01,2019-10-02
391,AGZ,2018-12-18,2019-09-03,2019-09-04
392,AGZ,2018-12-18,2019-08-01,2019-08-02
393,AGZ,2018-12-18,2019-07-01,2019-07-02
394,AGZ,2018-12-18,2019-06-03,2019-06-04
395,AGZ,2018-12-18,2019-05-01,2019-05-02
396,AGZ,2018-12-18,2019-04-01,2019-04-02
397,AGZ,2018-12-18,2019-03-01,2019-03-04
398,AGZ,2018-12-18,2019-02-01,2019-02-04
399,AGZ,2017-12-30,2018-12-18,2018-12-19
400,AGZ,2017-12-30,2018-12-03,2018-12-04
401,AGZ,2017-12-30,2018-11-01,2018-11-02
402,AIA,2019-12-13,2020-06-15,2020-06-16
403,AIA,2018-12-28,2019-12-16,2019-12-17
404,AIA,2018-12-28,2019-06-17,2019-06-18
405,AIEQ,2020-06-12,2020-06-15,2020-06-16
406,AIEQ,2020-03-16,2020-03-17,2020-03-18
407,AIEQ,2019-09-19,2019-09-20,2019-09-23
408,AIEQ,2019-06-27,2019-06-28,2019-07-01
409,AIEQ,2019-03-25,2019-03-26,2019-03-27
410,AIEQ,2018-12-21,2018-12-24,2018-12-26
411,AIEQ,2018-12-21,2018-12-24,2018-12-26
412,AIEQ,2018-12-21,2018-12-24,2018-12-26
413,AIG,2020-08-03,2020-09-16,2020-09-17
414,AIG,2020-05-04,2020-06-12,2020-06-15
415,AIG,2020-02-13,2020-03-13,2020-03-16
416,AIG,2019-11-01,2019-12-11,2019-12-12
417,AIG,2019-08-07,2019-09-16,2019-09-17
418,AIG,2019-05-06,2019-06-13,2019-06-14
419,AIG,2019-02-13,2019-03-14,2019-03-15
420,AIG,2018-10-31,2018-12-11,2018-12-12
421,AIMC,2020-07-22,2020-09-17,2020-09-18
422,AIMC,2020-04-29,2020-06-17,2020-06-18
423,AIMC,2020-02-11,2020-03-17,2020-03-18
424,AIMC,2019-10-22,2019-12-17,2019-12-18
425,AIMC,2019-07-22,2019-09-17,2019-09-18
426,AIMC,2019-04-24,2019-06-17,2019-06-18
427,AIMC,2019-02-12,2019-03-15,2019-03-18
428,AIMC,2018-10-16,2018-12-14,2018-12-17
429,AIN,2020-08-27,2020-09-04,2020-09-08
430,AIN,2020-05-15,2020-06-04,2020-06-05
431,AIN,2020-02-21,2020-03-19,2020-03-20
432,AIN,2019-12-11,2019-12-20,2019-12-23
433,AIN,2019-08-29,2019-09-06,2019-09-09
434,AIN,2019-05-10,2019-06-06,2019-06-07
435,AIN,2019-02-22,2019-03-15,2019-03-18
436,AIN,2018-12-14,2018-12-24,2018-12-26
437,AINV,2020-08-06,2020-09-18,2020-09-21
438,AINV,2020-08-06,2020-09-18,2020-09-21
439,AINV,2020-05-20,2020-06-17,2020-06-18
440,AINV,2020-02-04,2020-03-19,2020-03-20
441,AINV,2019-11-05,2019-12-19,2019-12-20
442,AINV,2019-08-06,2019-09-19,2019-09-20
443,AINV,2019-05-16,2019-06-19,2019-06-20
444,AINV,2019-02-06,2019-03-20,2019-03-21
445,AINV,2018-10-30,2018-12-19,2018-12-20
446,AIQ,2020-06-26,2020-06-29,2020-06-30
447,AIQ,2019-12-27,2019-12-30,2019-12-31
448,AIQ,2019-06-26,2019-06-27,2019-06-28
449,AIQ,2018-12-27,2018-12-28,2018-12-31
450,AIRR,2020-09-24,2020-09-24,2020-09-25
451,AIRR,2019-12-12,2019-12-13,2019-12-16
452,AIRR,2019-09-24,2019-09-25,2019-09-26
453,AIRR,2018-01-09,2018-12-18,2018-12-19
454,AIRTP,2019-11-05,2020-08-13,2020-08-14
455,AIRTP,2019-05-11,2020-05-13,2020-05-14
456,AIRTP,2019-11-05,2020-02-13,2020-02-14
457,AIT,2020-06-26,2020-08-13,2020-08-14
458,AIT,2020-04-30,2020-05-14,2020-05-15
459,AIT,2020-01-21,2020-02-13,2020-02-14
460,AIT,2019-10-30,2019-11-14,2019-11-15
461,AIT,2019-06-20,2019-08-14,2019-08-15
462,AIT,2019-04-26,2019-05-14,2019-05-15
463,AIT,2019-01-24,2019-02-14,2019-02-15
464,AIT,2018-10-31,2018-11-14,2018-11-15
465,AIZP,2020-07-09,2020-08-31,2020-09-01
466,AIZP,2020-05-07,2020-05-29,2020-06-01
467,AIZP,2020-01-14,2020-02-27,2020-03-01
468,AIZP,2019-11-08,2019-11-27,2019-12-01
469,AIZP,2019-05-08,2019-05-30,2019-06-01
470,AIZP,2019-01-18,2019-02-28,2019-03-01
471,AIZP,2018-11-09,2018-11-29,2018-12-01
472,AKO.B,2020-08-12,2020-08-20,2020-08-21
473,AKO.B,2020-05-12,2020-05-21,2020-05-22
474,AKO.B,2019-10-03,2019-10-17,2019-10-18
475,AKO.B,2019-08-09,2019-08-22,2019-08-23
476,AKO.B,2019-04-19,2019-05-23,2019-05-24
477,AKO.B,2018-10-09,2018-10-18,2018-10-19
478,ALCO,2020-09-11,2020-09-24,2020-09-25
479,ALCO,2020-06-11,2020-06-25,2020-06-26
480,ALCO,2020-03-13,2020-03-26,2020-03-27
481,ALCO,2019-12-05,2019-12-26,2019-12-27
482,ALCO,2019-09-13,2019-09-26,2019-09-27
483,ALCO,2019-06-14,2019-06-27,2019-06-28
484,ALCO,2019-03-15,2019-03-28,2019-03-29
485,ALCO,2018-12-14,2018-12-27,2018-12-28
486,ALE,2020-07-30,2020-08-13,2020-08-14
487,ALE,2020-04-30,2020-05-14,2020-05-15
488,ALE,2020-01-31,2020-02-13,2020-02-14
489,ALE,2019-10-24,2019-11-14,2019-11-15
490,ALE,2019-07-25,2019-08-14,2019-08-15
491,ALE,2019-04-24,2019-05-14,2019-05-15
492,ALE,2019-02-01,2019-02-14,2019-02-15
493,ALE,2018-10-25,2018-11-14,2018-11-15
494,ALEX,2020-02-25,2020-03-06,2020-03-09
495,ALEX,2019-10-24,2019-11-08,2019-11-12
496,ALEX,2019-08-01,2019-08-09,2019-08-12
497,ALEX,2019-04-26,2019-05-09,2019-05-10
498,ALEX,2019-02-26,2019-03-08,2019-03-11
499,ALG,2020-07-02,2020-07-15,2020-07-16
500,ALG,2020-04-01,2020-04-14,2020-04-15
501,ALG,2020-01-02,2020-01-15,2020-01-16
502,ALG,2019-10-01,2019-10-11,2019-10-15
503,ALG,2019-07-02,2019-07-15,2019-07-16
504,ALG,2019-04-02,2019-04-15,2019-04-16
